Number,Name,Description,Quantity,On Order,Vendor,Vendor Number,Unit
10000,Plastic Liners 24 x 33 Office,Small (Office Can) Clear Trash Bags,126,0,Network,HC243308C,Case
10100,Plastic Liners 43 x 48 16 Mic clear,Large Clear Trash Bags,664,0,Network,CF-434820C,Case
10200,Plastic Liners 43 x 47 1.5 Mil black,Large Black Trash Bags,3194,0,Network,RCM-4347,Case
10300,Big Belly Can Liners (Black),Black Big Belly Can Liners,22,0,Waste Zero,Black with White Print,Case
10400,"Trash Can, Brute, 44 Gallon","Brute, 44 Gallon Trash Can",8,0,Mellocraft,IMPGC440103,Each
10500,"Trash Can, Square 55 Gallon","Trash Can, 55 Gal",7,0,KSS/Silverback,IMP-7755-3,Each
10600,"Trash Can Dolly, Square 55 Gallon",Universal Trash Can Dolly,7,18,KSS/Silverback,OC-97000,Each
10700,"Wastebasket, Large 41 1/4 qts",Large Office Trash Can ,13,24,Bostwick,758787,Each
20000,"Roll Towel, Coreless Roll",Pacific Blue Ultra Brown Roll Towels,476,0,Network,26495,Case
20100,"Paper Towel, Multi-fold",White Multi-fold,136,0,Network,20204,Case
20200,"Toilet Tissue, Compact Rolls",Compact Coreless 2 Ply Toilet Tissue 1500SH Rolls,2801,0,Network,19378,Case
20300,"Toilet Tissue, Embossed Resorts",Small Roll Toilet Paper - Resorts,1195,0,Network,19881,Case
20400,"Facial Tissue, Breakers, Cube",Tissues Cube Boxes,2829,0,Network,46200,Case
20500,Toilet Seat Covers,Toilet Seat Covers,136,3,Network,47046,Case
20600,"Disposable Wipers, Brawny Sheets",Industrial Brawny Napkins ,5,0,Mellocraft,KCC05816,Case
20700,Wypall L30 Wiper Jumbo 950',"Disposable Wipers, Giant Roll",13,20,Mellocraft,KCC05841,Each
30000,Pacific Blue Hand Soap,Pacific Blue Hand Soap Cartridge ,3944,0,Network,43714,Each
30100,SanIT ,Bulk Sanitizer Gallons ,1714,0,Network,(Not Purchased),Gal
30200,Personal Sanitizer Bottle,Personal Sanitizer Bottles ,3499,0,(Not Purchased),(Not Purchased),Each
31000,Ultra 2000 Degreaser,Ultra 2000 Degreaser,15,20,O&M Paper,13605,5Gal Pail
35000,Zing - Qrt,Zing - Floor Cleaner and Dirt Remover,425,0,Network,3646A6,Each
35100,Zing - Gal ,Zing - 1 Gallon Bottle,74,0,Network,3646A1G4,Gal
35200,Odoban 55 gal drum,55 Gallon Odoban Drum ,6,0,Network,911062-55G,55 Gal Drum
35300,Odoban 5 gal pail,5 Gallon Odoban Pail,45,0,Network,911062-5G,5 Gal Pail
35400,Glybet III Disinfectant Spray,Disinfectant Deodorizer,105,204,O&M Paper,108623,Each
35500,Tru shot Trigger,Tru shot Trigger,99,0,Network,311981,Each
35600,Tru shot Glass Cleaner,Tru Shot Window Cleaner Solution Cartridge ,15,0,Network,681026,Each
35700,Mildew Remover,Premier Mildew Remover,304,0,Network,315272,Each
35800,Cream Cleanser,Husky 430,104,96,Bostwick,430,Each
35900,14+ 2.5 Gallon ,14+ Refill Container,39,0,Network,911062-5G,Each
36000,14+ Refill Bag ,14+ Refill Bag,166,0,Network,6100920,Each
36100,Ecolab Sink/Surface ,Sanitizer for Dry Wipes,90,0,Network,6102648,2.5Gal
36200,Deep Blue,Deep Blue Window/Glass Cleaner,48,48,O&M Paper,230B09023,Each
40000,Wax Stripper ,Spartan Emulsifier Plus Wax Floor Stripper,32,0,Mellocraft,SPA008405,5 Gal Pail
40100,"Floor Sealer, Betco",Betco Floor Sealer 607,20,33,O&M Paper,60705,5 Gal Pail
40200,Ishine,Ishine,17,0,Mellocraft,SPA405505,5 Gal Pail
40300,"Pad, 17"" Black Stripping","Pad, 17"" Black Stripping",34,50,O&M Paper,400117,Each
40400,"Pad, 17"" White Polishing","Pad, 17"" White Polishing",36,0,O&M Paper,400417,Each
40500,"Pad, 17"" Blue Cleaning","Pad, 17"" Blue Cleaning",80,0,O&M Paper,404417,Each
40600,"Pad, 20"" Green/White Soil Scrubbing Pad","Pad, 20"" Green/White Soil Scrubbing Pad",0,0,Mellocraft,GOLASP21G,Each
40700,"Pad, 17"" Red Buffing","Pad, 17"" Red Buffing",16,0,O&M Paper,404417,Each
40800,"Pad, 17"" Green Scrubbing","Pad, 17"" Green Scrubbing",50,25,O&M Paper,400317,Each
40900,"Pad, 20"" Red Buffing","Pad, 20"" Red Buffing",47,0,Mellocraft,PRO404420,Each
41000,"Pad, 20"" White Super Polish","Pad, 20"" White Super Polish",38,0,Mellocraft,PRO401220,Each
41100,"Pad, 20"" Black Stripping","Pad, 20"" Black Stripping",1,50,Mellocraft,PRO400120,Each
41200,"Pad, 20"" Green Scrubbing Pad","Pad, 20"" Green Scrubbing Pad",44,20,Mellocraft,PRO400320,Each
41300,"Pad, 20"" Tan Natural Blend Hog's Hair","Pad, 20"" Tan Natural Blend Hog's Hair",52,20,Mellocraft,PRO401820,Each
41400,"Heavy-Duty Utility Pad, Brown","Heavy-Duty Utility Pad, Brown",136,120,Mellocraft,BWK403,Each
41500,"Heavy-Duty Utility Pad, Blue","Heavy-Duty Utility Pad, Blue",557,0,Mellocraft,PRO541020,Each
41600,Scraper/Putty knife (metal),"3"" Putty Knife (metal)",2,24,Mellocraft,TOL-280107,Each
41700,Doodle Bug Swivel Holder,Doodle Pad Holder,98,20,Mellocraft,TOL280157,Each
41800,Husky Low Odor Floor Strpper,Husky Low Odor Floor Strpper Quart,6,6,Bostwick,HSK-708-01,Each
